freq,psd_x,psd_y,psd_z,psd_xyz,zv(62.2),mzv(40.0),ei(55.6),2hump_ei(51.4),3hump_ei(49.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.990,0.991,0.984,0.976
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.976,0.978,0.961,0.941
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.957,0.961,0.932,0.896
6.1,2.122e+02,5.313e+00,1.289e+01,2.304e+02,0.975,0.934,0.941,0.896,0.842
7.6,2.592e+02,3.699e+00,1.055e+01,2.735e+02,0.966,0.908,0.918,0.855,0.780
9.1,3.555e+02,3.119e+00,8.625e+00,3.672e+02,0.955,0.877,0.892,0.809,0.712
10.7,5.432e+02,2.835e+00,1.068e+01,5.567e+02,0.942,0.843,0.863,0.759,0.641
12.2,5.305e+02,2.878e+00,1.688e+01,5.503e+02,0.929,0.807,0.831,0.706,0.567
13.7,2.514e+02,3.170e+00,8.965e+00,2.635e+02,0.914,0.767,0.797,0.651,0.492
15.2,2.899e+02,3.326e+00,5.466e+00,2.986e+02,0.898,0.725,0.761,0.593,0.419
16.7,3.744e+02,3.113e+00,5.712e+00,3.833e+02,0.880,0.680,0.723,0.535,0.349
18.3,4.618e+02,3.248e+00,4.809e+00,4.698e+02,0.862,0.634,0.684,0.477,0.282
19.8,5.713e+02,4.148e+00,4.539e+00,5.800e+02,0.842,0.587,0.643,0.420,0.222
21.3,6.760e+02,4.693e+00,4.794e+00,6.855e+02,0.821,0.538,0.601,0.364,0.168
22.8,7.095e+02,3.312e+00,4.145e+00,7.170e+02,0.800,0.489,0.559,0.310,0.121
24.4,7.333e+02,1.329e+00,3.569e+00,7.382e+02,0.777,0.440,0.516,0.259,0.084
25.9,7.749e+02,9.884e-01,3.163e+00,7.790e+02,0.753,0.391,0.473,0.212,0.056
27.4,8.217e+02,8.461e-01,3.380e+00,8.260e+02,0.728,0.342,0.431,0.169,0.041
28.9,8.416e+02,8.770e-01,3.259e+00,8.458e+02,0.702,0.294,0.388,0.129,0.037
30.4,9.387e+02,1.010e+00,3.092e+00,9.428e+02,0.675,0.248,0.347,0.095,0.039
32.0,1.095e+03,1.358e+00,3.152e+00,1.099e+03,0.648,0.203,0.307,0.066,0.040
33.5,1.131e+03,1.623e+00,3.519e+00,1.136e+03,0.620,0.160,0.268,0.044,0.039
35.0,1.192e+03,1.736e+00,3.907e+00,1.197e+03,0.591,0.119,0.230,0.031,0.035
36.5,1.325e+03,1.840e+00,5.144e+00,1.332e+03,0.561,0.081,0.195,0.028,0.028
38.0,1.470e+03,1.456e+00,6.182e+00,1.477e+03,0.530,0.051,0.161,0.031,0.021
39.6,1.563e+03,1.315e+00,6.008e+00,1.570e+03,0.500,0.036,0.130,0.036,0.014
41.1,1.528e+03,1.763e+00,7.278e+00,1.537e+03,0.468,0.038,0.101,0.038,0.012
42.6,1.628e+03,3.228e+00,1.030e+01,1.642e+03,0.436,0.052,0.075,0.038,0.016
44.1,1.971e+03,7.039e+00,1.526e+01,1.993e+03,0.404,0.073,0.053,0.035,0.021
45.7,2.325e+03,1.533e+01,2.234e+01,2.362e+03,0.371,0.092,0.034,0.031,0.026
47.2,2.576e+03,2.980e+01,3.352e+01,2.640e+03,0.338,0.108,0.022,0.024,0.029
48.7,2.827e+03,5.709e+01,5.166e+01,2.935e+03,0.304,0.120,0.021,0.017,0.030
50.2,3.059e+03,9.592e+01,7.990e+01,3.235e+03,0.271,0.128,0.026,0.012,0.029
51.7,2.951e+03,1.292e+02,1.044e+02,3.185e+03,0.237,0.132,0.033,0.011,0.025
53.3,2.608e+03,1.559e+02,1.205e+02,2.884e+03,0.203,0.133,0.038,0.013,0.020
54.8,2.754e+03,1.995e+02,1.472e+02,3.100e+03,0.170,0.130,0.040,0.019,0.014
56.3,3.258e+03,2.591e+02,1.818e+02,3.699e+03,0.136,0.124,0.039,0.025,0.012
57.8,3.663e+03,3.196e+02,2.193e+02,4.202e+03,0.107,0.114,0.036,0.029,0.012
59.4,3.809e+03,3.977e+02,2.407e+02,4.447e+03,0.084,0.101,0.031,0.032,0.014
60.9,3.922e+03,5.134e+02,2.516e+02,4.687e+03,0.067,0.093,0.029,0.031,0.018
62.4,3.996e+03,5.801e+02,2.361e+02,4.813e+03,0.062,0.087,0.028,0.028,0.022
63.9,4.115e+03,5.457e+02,2.116e+02,4.872e+03,0.071,0.082,0.030,0.027,0.025
65.4,4.147e+03,4.456e+02,1.845e+02,4.777e+03,0.089,0.080,0.037,0.027,0.024
67.0,3.896e+03,3.473e+02,1.413e+02,4.385e+03,0.112,0.083,0.047,0.029,0.023
68.5,3.334e+03,2.947e+02,9.361e+01,3.722e+03,0.142,0.091,0.063,0.033,0.025
70.0,2.614e+03,2.353e+02,5.436e+01,2.904e+03,0.174,0.103,0.085,0.040,0.027
71.5,1.751e+03,1.514e+02,2.686e+01,1.930e+03,0.205,0.119,0.110,0.052,0.032
73.1,9.178e+02,6.781e+01,1.130e+01,9.969e+02,0.237,0.138,0.135,0.075,0.038
74.6,6.276e+02,7.119e+01,9.097e+00,7.079e+02,0.267,0.170,0.162,0.101,0.054
76.1,8.133e+02,6.621e+01,9.853e+00,8.894e+02,0.297,0.205,0.190,0.128,0.078
77.6,8.606e+02,2.374e+01,6.340e+00,8.907e+02,0.327,0.239,0.218,0.157,0.106
79.1,7.372e+02,1.239e+01,3.581e+00,7.532e+02,0.356,0.274,0.247,0.187,0.135
80.7,4.862e+02,7.528e+00,2.811e+00,4.966e+02,0.384,0.309,0.276,0.218,0.166
82.2,2.906e+02,4.927e+00,2.911e+00,2.984e+02,0.412,0.343,0.305,0.249,0.197
83.7,1.919e+02,3.868e+00,3.340e+00,1.991e+02,0.439,0.376,0.334,0.279,0.227
85.2,1.605e+02,3.794e+00,3.862e+00,1.681e+02,0.465,0.408,0.363,0.309,0.256
86.8,1.131e+02,3.869e+00,5.346e+00,1.223e+02,0.490,0.438,0.391,0.338,0.284
88.3,6.141e+01,4.108e+00,7.908e+00,7.343e+01,0.514,0.467,0.418,0.364,0.308
89.8,4.484e+01,5.228e+00,1.062e+01,6.069e+01,0.538,0.494,0.444,0.389,0.329
