freq,psd_x,psd_y,psd_z,psd_xyz,zv(43.2),mzv(26.0),ei(36.4),2hump_ei(39.0),3hump_ei(58.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.983,0.984,0.977,0.981
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.955,0.960,0.943,0.954
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.918,0.928,0.898,0.919
6.1,9.696e+00,4.279e+00,2.509e+02,2.649e+02,0.957,0.872,0.889,0.843,0.878
7.6,5.777e+00,3.802e+00,3.203e+02,3.299e+02,0.940,0.818,0.843,0.780,0.831
9.1,3.947e+00,3.416e+00,3.145e+02,3.218e+02,0.919,0.757,0.791,0.711,0.779
10.7,1.570e+01,3.841e+00,4.219e+02,4.414e+02,0.896,0.691,0.735,0.638,0.722
12.2,3.635e+01,3.701e+00,3.718e+02,4.118e+02,0.871,0.620,0.675,0.562,0.663
13.7,2.238e+01,5.289e+00,5.087e+02,5.364e+02,0.843,0.546,0.612,0.485,0.602
15.2,1.985e+01,1.508e+01,6.895e+02,7.244e+02,0.813,0.470,0.547,0.409,0.539
16.7,1.053e+01,1.278e+01,3.914e+02,4.147e+02,0.780,0.394,0.482,0.337,0.477
18.3,3.029e+00,5.565e+00,3.600e+02,3.686e+02,0.746,0.319,0.416,0.268,0.416
19.8,1.751e+00,3.475e+00,4.324e+02,4.377e+02,0.709,0.247,0.353,0.206,0.357
21.3,1.488e+00,4.493e+00,4.820e+02,4.879e+02,0.671,0.179,0.291,0.150,0.301
22.8,2.430e+00,4.009e+00,5.362e+02,5.426e+02,0.631,0.115,0.233,0.102,0.248
24.4,3.488e+00,3.295e+00,5.856e+02,5.924e+02,0.589,0.060,0.179,0.064,0.200
25.9,3.805e+00,3.676e+00,6.423e+02,6.498e+02,0.546,0.035,0.130,0.037,0.157
27.4,3.626e+00,5.096e+00,7.267e+02,7.354e+02,0.502,0.047,0.088,0.027,0.119
28.9,3.442e+00,6.316e+00,7.865e+02,7.962e+02,0.456,0.078,0.052,0.032,0.087
30.5,4.024e+00,8.050e+00,9.261e+02,9.382e+02,0.410,0.105,0.026,0.037,0.062
32.0,4.407e+00,1.158e+01,1.090e+03,1.106e+03,0.363,0.123,0.021,0.038,0.046
33.5,4.490e+00,1.600e+01,1.144e+03,1.165e+03,0.315,0.132,0.030,0.035,0.038
35.0,5.044e+00,2.126e+01,1.222e+03,1.249e+03,0.266,0.133,0.038,0.029,0.037
36.5,5.434e+00,3.400e+01,1.440e+03,1.480e+03,0.218,0.125,0.040,0.020,0.039
38.1,5.081e+00,5.672e+01,1.780e+03,1.841e+03,0.169,0.108,0.035,0.012,0.040
39.6,5.040e+00,8.018e+01,2.040e+03,2.125e+03,0.121,0.093,0.030,0.011,0.039
41.1,5.542e+00,8.052e+01,1.738e+03,1.824e+03,0.086,0.084,0.028,0.017,0.037
42.6,4.891e+00,7.716e+01,1.383e+03,1.465e+03,0.064,0.080,0.035,0.025,0.032
44.2,6.182e+00,9.155e+01,1.336e+03,1.434e+03,0.068,0.088,0.051,0.030,0.026
45.7,8.042e+00,1.003e+02,1.186e+03,1.294e+03,0.094,0.106,0.082,0.032,0.020
47.2,9.100e+00,9.458e+01,9.305e+02,1.034e+03,0.131,0.132,0.119,0.029,0.014
48.7,8.585e+00,8.821e+01,6.981e+02,7.949e+02,0.177,0.179,0.159,0.027,0.012
50.2,6.949e+00,1.004e+02,6.090e+02,7.164e+02,0.222,0.232,0.202,0.028,0.014
51.8,6.270e+00,9.232e+01,4.333e+02,5.319e+02,0.266,0.286,0.246,0.032,0.018
53.3,6.808e+00,9.315e+01,3.068e+02,4.068e+02,0.310,0.338,0.290,0.042,0.023
54.8,6.569e+00,1.113e+02,2.640e+02,3.819e+02,0.352,0.389,0.335,0.063,0.027
56.3,6.792e+00,1.300e+02,2.241e+02,3.609e+02,0.392,0.437,0.378,0.095,0.029
57.9,7.471e+00,1.444e+02,1.810e+02,3.329e+02,0.432,0.480,0.419,0.131,0.030
59.4,8.766e+00,1.675e+02,1.459e+02,3.221e+02,0.469,0.519,0.458,0.170,0.029
60.9,1.086e+01,1.906e+02,1.193e+02,3.208e+02,0.505,0.553,0.494,0.210,0.027
62.4,1.345e+01,2.012e+02,9.744e+01,3.120e+02,0.539,0.581,0.526,0.250,0.024
63.9,1.711e+01,1.992e+02,8.119e+01,2.975e+02,0.571,0.602,0.553,0.291,0.019
65.5,2.165e+01,1.694e+02,7.466e+01,2.657e+02,0.601,0.617,0.576,0.329,0.014
67.0,2.575e+01,1.319e+02,7.343e+01,2.310e+02,0.629,0.624,0.594,0.365,0.013
68.5,2.867e+01,1.044e+02,7.259e+01,2.057e+02,0.655,0.625,0.606,0.397,0.012
70.0,3.218e+01,1.179e+02,7.368e+01,2.238e+02,0.678,0.619,0.613,0.425,0.013
71.6,3.589e+01,1.323e+02,7.016e+01,2.384e+02,0.700,0.606,0.614,0.447,0.015
73.1,4.065e+01,1.223e+02,6.241e+01,2.253e+02,0.718,0.588,0.609,0.464,0.019
74.6,4.569e+01,1.131e+02,5.712e+01,2.159e+02,0.735,0.563,0.600,0.475,0.022
76.1,5.236e+01,1.148e+02,6.386e+01,2.310e+02,0.749,0.533,0.585,0.479,0.025
77.7,6.220e+01,1.112e+02,7.726e+01,2.506e+02,0.761,0.499,0.565,0.477,0.025
79.2,7.258e+01,1.118e+02,1.010e+02,2.854e+02,0.770,0.461,0.541,0.468,0.023
80.7,7.236e+01,1.279e+02,1.459e+02,3.461e+02,0.777,0.420,0.513,0.454,0.024
82.2,6.077e+01,1.725e+02,2.258e+02,4.590e+02,0.782,0.377,0.481,0.435,0.025
83.7,5.007e+01,2.146e+02,3.112e+02,5.759e+02,0.784,0.332,0.446,0.410,0.027
85.3,4.179e+01,2.307e+02,3.685e+02,6.410e+02,0.784,0.288,0.410,0.381,0.031
86.8,2.692e+01,2.372e+02,3.946e+02,6.587e+02,0.781,0.245,0.372,0.350,0.036
88.3,1.170e+01,2.259e+02,3.865e+02,6.241e+02,0.776,0.216,0.332,0.315,0.043
89.8,3.941e+00,2.109e+02,3.968e+02,6.116e+02,0.768,0.200,0.293,0.280,0.062
91.4,2.469e+00,2.095e+02,4.333e+02,6.452e+02,0.759,0.185,0.254,0.244,0.084
92.9,6.775e+00,1.900e+02,4.083e+02,6.051e+02,0.747,0.174,0.216,0.208,0.107
94.4,1.295e+01,1.693e+02,3.609e+02,5.431e+02,0.733,0.165,0.180,0.173,0.131
95.9,1.851e+01,1.486e+02,3.094e+02,4.764e+02,0.717,0.158,0.157,0.141,0.157
97.4,2.487e+01,1.212e+02,2.561e+02,4.022e+02,0.699,0.154,0.142,0.111,0.182
99.0,3.766e+01,8.426e+01,1.946e+02,3.166e+02,0.679,0.151,0.129,0.092,0.208
100.5,4.475e+01,5.501e+01,1.297e+02,2.295e+02,0.657,0.150,0.118,0.082,0.233
102.0,6.141e+01,4.144e+01,9.462e+01,1.975e+02,0.633,0.150,0.110,0.073,0.258
103.5,7.533e+01,3.807e+01,7.647e+01,1.899e+02,0.608,0.150,0.103,0.067,0.281
105.1,5.062e+01,2.910e+01,5.497e+01,1.347e+02,0.581,0.151,0.099,0.061,0.302
106.6,3.330e+01,1.800e+01,3.676e+01,8.805e+01,0.552,0.153,0.096,0.057,0.320
108.1,3.983e+01,1.152e+01,2.872e+01,8.007e+01,0.523,0.155,0.095,0.054,0.337
109.6,5.730e+01,7.998e+00,2.340e+01,8.871e+01,0.492,0.159,0.096,0.051,0.350
111.1,8.385e+01,6.743e+00,1.798e+01,1.086e+02,0.460,0.163,0.097,0.049,0.360
112.7,1.165e+02,7.517e+00,1.346e+01,1.375e+02,0.428,0.169,0.101,0.048,0.367
114.2,1.234e+02,8.240e+00,8.912e+00,1.405e+02,0.395,0.176,0.105,0.047,0.371
115.7,1.129e+02,8.682e+00,5.785e+00,1.273e+02,0.371,0.184,0.111,0.047,0.372
117.2,8.527e+01,7.985e+00,4.280e+00,9.754e+01,0.354,0.194,0.118,0.047,0.368
118.8,5.117e+01,6.421e+00,3.734e+00,6.132e+01,0.338,0.204,0.127,0.048,0.362
120.3,2.655e+01,4.646e+00,3.626e+00,3.482e+01,0.324,0.222,0.136,0.049,0.353
121.8,1.347e+01,2.777e+00,3.057e+00,1.930e+01,0.311,0.253,0.147,0.050,0.340
123.3,8.779e+00,2.684e+00,2.563e+00,1.403e+01,0.300,0.283,0.166,0.053,0.326
124.9,1.196e+01,4.685e+00,2.298e+00,1.894e+01,0.292,0.312,0.194,0.055,0.308
126.4,1.667e+01,6.064e+00,1.824e+00,2.455e+01,0.286,0.339,0.221,0.058,0.289
127.9,1.783e+01,6.753e+00,1.585e+00,2.617e+01,0.283,0.364,0.249,0.062,0.269
129.4,1.569e+01,7.492e+00,2.000e+00,2.518e+01,0.282,0.387,0.276,0.066,0.247
130.9,2.094e+01,1.538e+01,1.510e+01,5.141e+01,0.284,0.405,0.302,0.071,0.224
132.5,2.026e+01,1.734e+01,2.107e+01,5.867e+01,0.289,0.421,0.326,0.076,0.202
134.0,2.800e+00,3.581e+00,3.011e+00,9.392e+00,0.295,0.432,0.348,0.082,0.179
135.5,1.387e+00,2.474e+00,1.935e+00,5.796e+00,0.303,0.439,0.368,0.095,0.156
137.0,2.072e+00,3.643e+00,2.882e+00,8.597e+00,0.313,0.442,0.385,0.114,0.135
138.6,2.704e+00,5.574e+00,4.797e+00,1.308e+01,0.324,0.441,0.398,0.134,0.114
140.1,3.037e+00,7.072e+00,7.269e+00,1.738e+01,0.336,0.435,0.409,0.155,0.095
141.6,3.382e+00,7.701e+00,9.013e+00,2.010e+01,0.348,0.426,0.416,0.175,0.078
143.1,2.838e+00,7.739e+00,1.056e+01,2.114e+01,0.361,0.413,0.420,0.195,0.065
144.6,2.004e+00,7.309e+00,1.236e+01,2.168e+01,0.387,0.397,0.420,0.213,0.060
146.2,1.560e+00,6.885e+00,1.425e+01,2.269e+01,0.414,0.378,0.417,0.230,0.055
147.7,1.726e+00,6.471e+00,1.544e+01,2.364e+01,0.441,0.357,0.411,0.245,0.051
149.2,2.083e+00,5.851e+00,1.648e+01,2.442e+01,0.466,0.334,0.401,0.257,0.047
150.7,1.896e+00,5.375e+00,1.685e+01,2.412e+01,0.490,0.310,0.389,0.267,0.044
152.3,1.436e+00,4.687e+00,1.688e+01,2.300e+01,0.512,0.285,0.374,0.273,0.042
153.8,1.184e+00,4.010e+00,1.590e+01,2.109e+01,0.533,0.261,0.356,0.276,0.039
155.3,8.943e-01,3.131e+00,1.290e+01,1.693e+01,0.552,0.237,0.337,0.276,0.037
156.8,5.725e-01,2.587e+00,1.077e+01,1.393e+01,0.570,0.228,0.316,0.272,0.036
158.3,6.190e-01,2.267e+00,9.543e+00,1.243e+01,0.586,0.222,0.293,0.266,0.034
159.9,7.348e-01,2.148e+00,9.703e+00,1.259e+01,0.600,0.216,0.270,0.257,0.033
161.4,7.220e-01,1.850e+00,9.534e+00,1.211e+01,0.612,0.210,0.247,0.246,0.032
162.9,7.079e-01,1.684e+00,9.165e+00,1.156e+01,0.623,0.206,0.223,0.232,0.031
164.4,6.512e-01,1.712e+00,8.762e+00,1.112e+01,0.631,0.202,0.201,0.216,0.031
166.0,5.867e-01,1.718e+00,8.144e+00,1.045e+01,0.638,0.199,0.184,0.200,0.030
167.5,5.081e-01,1.748e+00,6.723e+00,8.980e+00,0.643,0.196,0.178,0.182,0.030
169.0,4.664e-01,1.497e+00,5.585e+00,7.548e+00,0.646,0.194,0.171,0.165,0.030
170.5,3.954e-01,1.262e+00,3.995e+00,5.652e+00,0.647,0.193,0.166,0.147,0.029
